,2020-05-18_2020-09-12,2020-05-25_2020-09-12,2020-06-01_2020-09-12,2020-06-08_2020-09-12,2020-06-15_2020-09-12,2020-06-22_2020-09-12,2020-06-29_2020-09-12,2020-07-06_2020-09-12,2020-07-13_2020-09-12,2020-07-20_2020-09-12,2020-07-27_2020-09-12,2020-08-03_2020-09-12,2020-08-10_2020-09-12,2020-08-17_2020-09-12,2020-08-24_2020-09-12,2020-08-31_2020-09-12,2020-09-07_2020-09-12
perc_beat_baseline-USACE-ERDC_SEIR,,,,,,,0.568627451,,,0.1568627451,0.3333333333,0.3333333333,0.3725490196,0.3137254902,0.2352941176,0.3725490196,0.3137254902
perc_beat_baseline-USC-SI_kJalpha,,,,,,,0.6078431373,,,0.4509803922,0.4117647059,0.4705882353,0.3921568627,0.5490196078,0.431372549,0.5490196078,0.431372549
perc_beat_baseline-UT-Mobility,,,,,,,,,,,,,,0.4117647059,0.3137254902,,
perc_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,0.1764705882
perc_beat_baseline-YYG-ParamSearch,,,,,0.5882352941,0.7254901961,0.6862745098,0.7254901961,0.7254901961,0.568627451,0.5882352941,0.4705882353,0.5098039216,0.6078431373,0.431372549,0.5490196078,0.6078431373
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,0.3333333333,0.2291666667,0.2608695652,0.2826086957
mean_abs_error-Auquan-SEIR,,,,,,,,,,,,,,153.372549,176.8039216,,
mean_abs_error-Baseline,2403.388235,1874.882353,1524.052941,1393.57451,1096.684314,906.3098039,1183.543137,729.9235294,511.5098039,364.2176471,215.5156863,241.1980392,160.0176471,125.2352941,67.33137255,36.49803922,24.22745098
mean_abs_error-CEID-Walk,,,,,,,,,,,,,,142.2333333,91.31372549,55.62745098,31.19803922
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,74.84313725,65.41176471,,
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,,,146.1176471,88.35098039,56.17254902,31.17647059
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,,,,55.33333333,44.84313725,28.76470588,18.84313725
mean_abs_error-CU-select,,,,,,,,,,,,,,172.0196078,88.11764706,52.74509804,37.74509804
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,,1089.982353,1077.772549,1016.219608,746.2470588,656.5529412,633.5666667,508.6019608,298.9882353,266.1568627,208.0941176,171.0235294,,,272.727451,42.1372549,29.51372549
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,332.8431373,254.1960784,201.5294118,163.4901961,92.66666667,82.62745098,48.11764706,26.37254902
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,182.3980392,98.39215686,36.25686275,24.36078431
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,,,31.81176471
mean_abs_error-Google_Harvard-CPF,,,,,,,,,,,,,,,,49.21960784,29.08627451
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,
mean_abs_error-IHME-CurveFit,,,,978.6294118,660.5411765,469.3137255,597.5960784,541.7627451,,353.9862745,254.0882353,196.0176471,155.2960784,,183.0745098,92.67254902,38.43921569
mean_abs_error-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,76.28823529,54.06666667,36.22745098,22.93529412
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,,127.3254902,63.38039216
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,,,358.9372549,256.7803922,109.345098,61.78823529,38.32941176
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,288.6254902,168.4176471,76.99019608,43.34901961,22.22941176
mean_abs_error-LANL-GrowthRate,,,,,,,,,,,476.1568627,335.9176471,204.2627451,152.5078431,86.70784314,49.10196078,27.07254902
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,,96.10196078,46.67058824,25.9372549,19.17058824
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,763.7215686,691.7372549,449.2803922,,439.2784314,,,28.33333333
mean_abs_error-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,35.86862745
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,,,421.7,352.3294118,157.2215686,81.38431373,47.35686275,30.27647059
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,,,56.74509804,44.38039216,40.3745098,23.75882353
mean_abs_error-PSI-DRAFT,,,,,,,,,,,,1632.941176,403.9607843,297.7352941,113.3921569,55.09803922,35.02941176
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,
mean_abs_error-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,,,,133.1509804,70.01372549,35.3254902
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,
mean_abs_error-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,89.98039216,50.90196078,19.50980392
mean_abs_error-TTU-squider,,,,,,,,,,,,,,3190.076471,431.8568627,,
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,,,,120.8039216,80.23529412,93.92156863,38.82352941
mean_abs_error-UCLA-SuEIR,,,,1007.388235,963.2078431,894.0529412,858.0313725,719.6392157,448.4666667,371.9215686,240.9764706,179.3117647,136.2352941,105.8431373,61.79607843,43.2,29.36862745
mean_abs_error-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,
mean_abs_error-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,,,77.15686275,53.47058824,32.05882353,15.84313725
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,,,648.5254902,,,1221.490196,665.6607843,465.8588235,320.8333333,228.6215686,153.4784314,98.32941176,50.0745098
mean_abs_error-USC-SI_kJalpha,,,,,,,887.0156863,,,522.027451,369,159.5882353,131.1568627,78.1372549,67.84313725,34.94117647,27.21568627
mean_abs_error-UT-Mobility,,,,,,,,,,,,,,285.5588235,95.53921569,,
mean_abs_error-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,95.18431373
mean_abs_error-YYG-ParamSearch,,,,,769.7352941,618.5803922,555.6098039,451.5647059,270.8803922,264.172549,208.1686275,140.4313725,109.9705882,66.29215686,45.75294118,28.84313725,21.05882353
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,
