,2020-09-21_2021-02-20,2020-09-28_2021-02-20,2020-10-05_2021-02-20,2020-10-12_2021-02-20,2020-10-19_2021-02-20,2020-10-26_2021-02-20,2020-11-02_2021-02-20,2020-11-09_2021-02-20,2020-11-16_2021-02-20,2020-11-23_2021-02-20,2020-11-30_2021-02-20,2020-12-07_2021-02-20,2020-12-14_2021-02-20,2020-12-21_2021-02-20,2020-12-28_2021-02-20,2021-01-04_2021-02-20,2021-01-11_2021-02-20,2021-01-18_2021-02-20,2021-01-25_2021-02-20,2021-02-01_2021-02-20,2021-02-08_2021-02-20,2021-02-15_2021-02-20
num_states_with_projections-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,50,48,49,49
num_states_with_projections-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,,,1,1
num_states_with_projections-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,51
num_states_with_projections-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-IBF-TimeSeries,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
num_states_with_projections-IHME-CurveFit,,,,,51,51,,,,51,,51,51,51,51,,,51,51,51,51,51
num_states_with_projections-IowaStateLW-STEM,,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JCB-PRM,,,,,,,,,,,,,,,51,,,,,,,
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,,,,,,,51,51,51,,51,51,51,51
num_states_with_projections-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,51,51,50,51
num_states_with_projections-JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,51,51,51,51,51,51
num_states_with_projections-Karlen-pypm,,,,,,,,,,,,,,,,,,51,51,51,51,51
num_states_with_projections-LANL-GrowthRate,,,,,,,,,,,,,,,,,51,51,51,51,51,51
num_states_with_projections-LNQ-ens1,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-MITCovAlliance-SIR,,,,,,,,,,,,,,,,51,51,,,,,
num_states_with_projections-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,41,44,43,46
num_states_with_projections-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,50,50,50,50
num_states_with_projections-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,50,50,50,50
num_states_with_projections-OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-PSI-DRAFT,,,,,,,,,,,,,,,,,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
num_states_with_projections-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,31,30,30,30
num_states_with_projections-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-STH-3PU,,,1,2,2,2,2,,,,,,,,,,,,,,,
num_states_with_projections-SigSci-TS,,,,,,,,,,,,,,,,,,,0,51,38,49
num_states_with_projections-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,51,51,51,
num_states_with_projections-TTU-squider,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-UA-EpiCovDA,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-UCLA-SuEIR,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,
num_states_with_projections-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,0,0,0,0,0
num_states_with_projections-UCSB-ACTS,,,,,,,,,,,,,,,,,,,51,,,
num_states_with_projections-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,50,50,50,50
num_states_with_projections-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,51,
num_states_with_projections-UMass-MechBayes,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,50,50,49,47
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_with_projections-UT-Mobility,,,,,,,,,,,,,,,,,,,51,,,
num_states_with_projections-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,0,0,0,0
num_states_with_projections-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,51,51,51,51,51,51,51
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,51,51,51,51
num_states_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,14,20,22,16,17,19,19,15
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,34,27,28,23
num_states_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,,,20,21,9,12
num_states_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,,,,,,17,32,18,8
num_states_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,28,41,35,22
num_states_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,41,41,1
num_states_beat_baseline-CU-select,,,,,,,,,,,,,,,,,,,23,30,30,23
num_states_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,33,27,
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,17,14,,17,19,,20,23
num_states_beat_baseline-Covid19Sim-Simulator,,,32,33,30,41,42,36,,28,33,29,36,29,27,28,32,28,23,33,25,17
num_states_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,22,21,23,29,27,21
num_states_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,,,,,7,32,18,
num_states_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,26,34,34,25
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,,,0,0
num_states_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,16
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,29,32,31,23
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IHME-CurveFit,,,,,46,45,,,,37,,34,31,30,27,,,17,23,30,28,22
num_states_beat_baseline-IowaStateLW-STEM,,,6,11,10,9,15,23,18,32,30,20,22,18,21,26,22,17,23,12,16,3
num_states_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,20,,,,,,,
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,5,22,25,,22,13,14,6
num_states_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,20,18,20,12
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,25,25,25,21,23,15
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,,,,,23,23,36,35,30
num_states_beat_baseline-LANL-GrowthRate,,,,,,,,,,,,,,,,,22,24,28,31,33,29
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,,,,,,23,38,37,35
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,,,,,17,23,,,,,
num_states_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,11,26,16,6
num_states_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,20,25,18,18
num_states_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,29,28,25,12
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,16,30,14,21
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,35,37,39,36
num_states_beat_baseline-PSI-DRAFT,,,,,,,,,,,,,,,,,22,26,22,22,17,16
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,12,16,10,7
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,33,41,37,34
num_states_beat_baseline-STH-3PU,,,1,0,1,1,1,,,,,,,,,,,,,,,
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,26,16,16
num_states_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,28,38,36,
num_states_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,,10,13,10,9
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,,,,,22,33,32,22
num_states_beat_baseline-UCLA-SuEIR,,,,,,,,,9,26,21,21,24,28,22,24,28,32,22,23,31,
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,,,23,,,
num_states_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,24,25,20,8
num_states_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,18,
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,,,,,33,41,37,30
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,13,20,25,15
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,26,38,35,20
num_states_beat_baseline-UT-Mobility,,,,,,,,,,,,,,,,,,,25,,,
num_states_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,11,16,16,16,24,26,20
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,20,28,22,18
perc_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,0.2745098039,0.3921568627,0.431372549,0.3137254902,0.3333333333,0.3725490196,0.3725490196,0.2941176471
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,0.6666666667,0.5294117647,0.5490196078,0.4509803922
perc_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,,,0.3921568627,0.4117647059,0.1764705882,0.2352941176
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,,,,,,0.3333333333,0.6274509804,0.3529411765,0.1568627451
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,0.5490196078,0.8039215686,0.6862745098,0.431372549
perc_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,0.8039215686,0.8039215686,0.01960784314
perc_beat_baseline-CU-select,,,,,,,,,,,,,,,,,,,0.4509803922,0.5882352941,0.5882352941,0.4509803922
perc_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,0.6470588235,0.5294117647,
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,0.3333333333,0.2745098039,,0.3333333333,0.38,,0.3921568627,0.4509803922
perc_beat_baseline-Covid19Sim-Simulator,,,0.6274509804,0.6470588235,0.5882352941,0.8039215686,0.8235294118,0.7058823529,,0.5490196078,0.6470588235,0.568627451,0.7058823529,0.568627451,0.5294117647,0.5490196078,0.6274509804,0.5490196078,0.4509803922,0.6470588235,0.4901960784,0.3333333333
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,0.431372549,0.4117647059,0.4509803922,0.568627451,0.5294117647,0.4117647059
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,,,,,0.137254902,0.6274509804,0.3529411765,
perc_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,0.52,0.7083333333,0.693877551,0.5102040816
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,,,0,0
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,0.3137254902
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,0.568627451,0.6274509804,0.6078431373,0.4509803922
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IHME-CurveFit,,,,,0.9019607843,0.8823529412,,,,0.7254901961,,0.6666666667,0.6078431373,0.5882352941,0.5294117647,,,0.3333333333,0.4509803922,0.5882352941,0.5490196078,0.431372549
perc_beat_baseline-IowaStateLW-STEM,,,0.1224489796,0.2244897959,0.2040816327,0.1836734694,0.306122449,0.4693877551,0.3673469388,0.6530612245,0.612244898,0.4081632653,0.4489795918,0.3673469388,0.4285714286,0.5306122449,0.4489795918,0.3469387755,0.4693877551,0.2448979592,0.3265306122,0.0612244898
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,0.3921568627,,,,,,,
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,0.09803921569,0.431372549,0.4901960784,,0.431372549,0.2549019608,0.2745098039,0.1176470588
perc_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,0.3921568627,0.3529411765,0.4,0.2352941176
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,0.4901960784,0.4901960784,0.4901960784,0.4117647059,0.4509803922,0.2941176471
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,,,,,0.4509803922,0.4509803922,0.7058823529,0.6862745098,0.5882352941
perc_beat_baseline-LANL-GrowthRate,,,,,,,,,,,,,,,,,0.431372549,0.4705882353,0.5490196078,0.6078431373,0.6470588235,0.568627451
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,,,,,,0.4509803922,0.7450980392,0.7254901961,0.6862745098
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,,,,,0.3333333333,0.4509803922,,,,,
perc_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,0.2156862745,0.5098039216,0.3137254902,0.1176470588
perc_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,0.487804878,0.5681818182,0.4186046512,0.3913043478
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,0.58,0.56,0.5,0.24
perc_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,0.32,0.6,0.28,0.42
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,0.6862745098,0.7254901961,0.7647058824,0.7058823529
perc_beat_baseline-PSI-DRAFT,,,,,,,,,,,,,,,,,0.431372549,0.5098039216,0.431372549,0.431372549,0.3333333333,0.3137254902
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,0.3870967742,0.5333333333,0.3333333333,0.2333333333
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,0.6470588235,0.8039215686,0.7254901961,0.6666666667
perc_beat_baseline-STH-3PU,,,1,0,0.5,0.5,0.5,,,,,,,,,,,,,,,
perc_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,0.5098039216,0.4210526316,0.3265306122
perc_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,0.5490196078,0.7450980392,0.7058823529,
perc_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,,0.1960784314,0.2549019608,0.1960784314,0.1764705882
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,,,,,0.431372549,0.6470588235,0.6274509804,0.431372549
perc_beat_baseline-UCLA-SuEIR,,,,,,,,,0.1764705882,0.5098039216,0.4117647059,0.4117647059,0.4705882353,0.5490196078,0.431372549,0.4705882353,0.5490196078,0.6274509804,0.431372549,0.4509803922,0.6078431373,
perc_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,,,0.4509803922,,,
perc_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,0.48,0.5,0.4,0.16
perc_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,0.3529411765,
perc_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,,,,,0.6470588235,0.8039215686,0.7254901961,0.5882352941
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,0.26,0.4,0.5102040816,0.3191489362
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,0.5098039216,0.7450980392,0.6862745098,0.3921568627
perc_beat_baseline-UT-Mobility,,,,,,,,,,,,,,,,,,,0.4901960784,,,
perc_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,0.2156862745,0.3137254902,0.3137254902,0.3137254902,0.4705882353,0.5098039216,0.3921568627
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,0.3921568627,0.5490196078,0.431372549,0.3529411765
mean_abs_error-AIpert-pwllnod,,,,,,,,,,,,,,,1702.829412,1273.988235,1348.005882,1303.531373,716.5509804,394.0509804,241.5352941,123.7647059
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,192.0941176,272.3647059,192.327451,124.6078431
mean_abs_error-Baseline,3643.980392,3610.319608,3737.798039,3697.711765,3745.670588,3512.690196,3453.782353,3219.064706,2867.772549,2320.672549,2310.092157,1745.082353,1653.698039,1229.311765,1052.723529,837.3352941,560.3980392,420.7137255,323.4137255,294.127451,233.2882353,76.13921569
mean_abs_error-CEID-Walk,,,,,,,,,,,,,,,,,,,337.1215686,323.9,305.2568627,187.8215686
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,,,,,,497.6862745,250.5490196,216.1960784,102.6666667
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,,,,1023.486275,871.8,579.4078431,464.0117647,334.0862745,320.2843137,291.1215686,184.1568627
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,243.372549,155.6862745,130.4901961,76.80392157
mean_abs_error-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,128.2156863,107.5882353,355.8431373
mean_abs_error-CU-select,,,,,,,,,,,,,,,,,,,468.5686275,289.745098,114.2745098,64.35294118
mean_abs_error-Caltech-CS156,,,,,,,,,,,,,,,,,,,,201.2705882,133.1686275,
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,1771.156863,1282.078431,,847.9803922,,,188.8823529,123.2352941
mean_abs_error-Covid19Sim-Simulator,,,4095.217647,3468.737255,3819.254902,2568.358824,2299.47451,2453.221569,,2158.907843,1766.4,1300.645098,900.1627451,720.5509804,870.4607843,749.0019608,523.1470588,456.5843137,355.8843137,198.9568627,195.6862745,250.8705882
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,1234.960784,1117.627451,622.5490196,266.7254902,142.5490196,78.21568627
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,,,,,,2017.484314,308.2705882,278.9980392,
mean_abs_error-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,233.5
mean_abs_error-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,266.6568627,164.8568627,115.5509804,72.65686275
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IHME-CurveFit,,,,,1709.294118,1696.037255,,,,1317.958824,,1093.970588,1182.394118,955.7941176,879.5568627,,,656.3470588,378.6137255,245.7196078,177.0117647,168.9176471
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,,1090.101961,,,,,,,
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,1701.847059,1189.856863,915.7921569,,400.1117647,881.972549,643.5019608,558.2176471
mean_abs_error-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,383.6862745,299.1176471,,104.4313725
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,666.2764706,469.345098,396.245098,332.9039216,247.045098,161.6333333
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,,,,,,411.127451,322.9607843,188.9117647,137.5627451,69.07058824
mean_abs_error-LANL-GrowthRate,,,,,,,,,,,,,,,,,939.0784314,847.5490196,323.5686275,194.5784314,125.8333333,73.84313725
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,,,,,,,390.4294118,175.1352941,136.0196078,84.27254902
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,,,,,,1303.898039,1237.245098,,,,,
mean_abs_error-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,468.372549,288.1960784,209.1176471,143.3333333
mean_abs_error-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,271.4470588,181.5058824,120.4803922,57.20784314
mean_abs_error-PSI-DRAFT,,,,,,,,,,,,,,,,,1236.372549,557.6470588,612.6666667,475.2254902,238.7843137,125.5196078
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,251.0941176,143.7196078,90.27647059,57.71568627
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-SigSci-TS,,,,,,,,,,,,,,,,,,,,323.745098,,
mean_abs_error-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,256.5686275,170.4313725,128.7843137,
mean_abs_error-TTU-squider,,,,,,,,,,,,,,,,,,,732.5411765,608.6078431,600.4568627,481.8705882
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,,,,,,,,,378.2352941,211.9411765,135.3921569,70.05882353
mean_abs_error-UCLA-SuEIR,,,,,,,,,3653.333333,2249.590196,2327.123529,1722.098039,1550.05098,1282.552941,1371.427451,923.2705882,636.954902,409.2509804,393.2156863,225.6568627,154.7921569,
mean_abs_error-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCSB-ACTS,,,,,,,,,,,,,,,,,,,565.9764706,,,
mean_abs_error-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,234.0137255,
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,,,,,,,,228.5294118,140.1372549,102.3333333,55.88235294
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,314.7647059,154.7254902,120.2352941,109.4313725
mean_abs_error-UT-Mobility,,,,,,,,,,,,,,,,,,,489.4607843,,,
mean_abs_error-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,1986.305882,1569.056863,1135.866667,803.3862745,492.0078431,293.5784314,163.3568627
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,415.5882353,227.1372549,483.1568627,709.3921569
