,2020-04-20_2020-05-16,2020-04-27_2020-05-23,2020-05-04_2020-05-30,2020-05-11_2020-06-06,2020-05-18_2020-06-13,2020-05-25_2020-06-20,2020-06-01_2020-06-27,2020-06-08_2020-07-04,2020-06-15_2020-07-11,2020-06-22_2020-07-18,2020-06-29_2020-07-25,2020-07-06_2020-08-01,2020-07-13_2020-08-08,2020-07-20_2020-08-15,2020-07-27_2020-08-22,2020-08-03_2020-08-29,2020-08-10_2020-09-05,2020-08-17_2020-09-12,2020-08-24_2020-09-19,2020-08-31_2020-09-26,2020-09-07_2020-10-03,2020-09-14_2020-10-10,2020-09-21_2020-10-17,2020-09-28_2020-10-24,2020-10-05_2020-10-31,2020-10-12_2020-11-07,2020-10-19_2020-11-14,2020-10-26_2020-11-21,2020-11-02_2020-11-28,2020-11-09_2020-12-05,2020-11-16_2020-12-12,2020-11-23_2020-12-19,2020-11-30_2020-12-26,2020-12-07_2021-01-02,2020-12-14_2021-01-09,2020-12-21_2021-01-16,2020-12-28_2021-01-23,2021-01-04_2021-01-30,2021-01-11_2021-02-06,2021-01-18_2021-02-13,2021-01-25_2021-02-20,2021-02-01_2021-02-27,2021-02-08_2021-03-06
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333,0.431372549,0.4705882353,0.5882352941,0.4901960784,0.6274509804,0.7450980392,0.5294117647,0.7647058824,0.3333333333,0.431372549,0.4509803922,0.6470588235,0.5294117647,0.2941176471,0.568627451,0.6666666667,0.6078431373,0.8039215686
perc_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,0.431372549,0.3333333333,0.3921568627,0.4117647059,0.4901960784,0.5098039216,0.431372549,0.5098039216,0.5098039216,0.6078431373,0.4901960784,0.5882352941,0.568627451,0.6470588235,0.6078431373,0.5490196078,0.5294117647,0.4117647059,,,0.568627451,0.568627451,0.3921568627,0.4705882353,0.3921568627,0.3921568627,0.2549019608
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,0.6666666667,0.6666666667,0.5882352941,0.4117647059,0.6078431373,0.4117647059,0.62,0.612244898,0.4285714286,0.5510204082,0.5102040816,0.4693877551,0.7647058824,0.6274509804,0.5882352941,0.6078431373,0.7450980392,0.8823529412,0.7450980392,0.8431372549,0.431372549,0.4509803922,0.6078431373,0.5294117647,0.6274509804,0.5294117647,0.2941176471,0.3333333333,0.5294117647,0.7647058824
perc_beat_baseline-COVIDhub-ensemble,,0.5490196078,0.5098039216,0.5882352941,0.5490196078,0.5294117647,0.5490196078,0.6470588235,0.6862745098,0.6666666667,0.6862745098,0.8039215686,0.7647058824,0.6470588235,0.7058823529,0.6078431373,0.5882352941,0.6666666667,0.6862745098,0.6078431373,0.5882352941,0.6862745098,0.6470588235,0.7647058824,0.5490196078,0.7843137255,0.6666666667,0.7843137255,0.7843137255,0.8823529412,0.9411764706,0.862745098,0.8823529412,0.7058823529,0.7450980392,0.7450980392,0.8235294118,0.6078431373,0.7254901961,0.4509803922,0.5490196078,0.7843137255,0.8431372549
perc_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8235294118,0.8235294118
perc_beat_baseline-CU-select,0.36,0.46,0.38,0.38,0.44,0.46,0.3,0.4117647059,0.4117647059,0.431372549,0.2941176471,0.4117647059,0.5098039216,0.3333333333,0.2352941176,0.431372549,0.431372549,0.2352941176,0.2941176471,0.431372549,0.3137254902,0.4509803922,0.3725490196,0.3725490196,0.5098039216,0.568627451,0.6666666667,0.6274509804,0.6470588235,0.7254901961,0.7843137255,0.6666666667,0.4705882353,0.4705882353,0.568627451,0.4705882353,0.1764705882,0.137254902,0.2156862745,0.4117647059,0.4509803922,0.568627451,0.7058823529
perc_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7254901961,0.862745098,0.8431372549,0.7058823529,0.7647058824,0.6470588235,0.7058823529,0.8039215686,0.7450980392,0.6274509804,0.431372549,0.5490196078,,0.6862745098,0.7058823529
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,0.42,0.4509803922,0.3921568627,0.4509803922,0.4509803922,0.568627451,0.58,0.5882352941,0.54,0.568627451,0.56,0.4901960784,0.5882352941,0.2156862745,0.568627451,0.4117647059,0.4901960784,0.2941176471,,0.3529411765,0.38,,0.7254901961
perc_beat_baseline-Covid19Sim-Simulator,,,,,,0.5882352941,0.5098039216,0.5294117647,0.6078431373,0.6470588235,0.6666666667,0.6470588235,0.6274509804,0.5882352941,0.5490196078,0.5098039216,,0.4117647059,0.2549019608,0.5490196078,0.5294117647,0.4901960784,0.4117647059,0.5098039216,0.4117647059,0.4901960784,0.5294117647,0.7450980392,0.6470588235,0.6274509804,,0.6274509804,0.6274509804,0.4901960784,0.4901960784,0.5098039216,0.568627451,0.568627451,0.3725490196,0.4705882353,0.4509803922,0.7058823529,0.7254901961
perc_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,0.3529411765,0.3529411765,0.431372549,0.4186046512,,0.3529411765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-CovidAnalytics-DELPHI,,0.431372549,0.3921568627,0.4509803922,0.4117647059,0.568627451,0.6274509804,0.5490196078,0.5294117647,0.6274509804,0.5098039216,0.6274509804,0.568627451,0.5294117647,0.5294117647,0.5490196078,0.4705882353,0.4509803922,0.4117647059,0.4705882353,0.3529411765,0.3137254902,0.431372549,0.3725490196,0.2352941176,0.431372549,0.1764705882,0.4117647059,0.3921568627,0.4705882353,0.4705882353,0.6666666667,0.6078431373,0.4705882353,0.5098039216,0.4901960784,0.431372549,0.4705882353,0.4117647059,0.3529411765,0.4509803922,0.5882352941,0.7058823529
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,0.3137254902,0.2941176471,0.1960784314,0.3333333333,0.3529411765,0.5882352941,0.3333333333,0.4901960784,0.3921568627,0.4901960784,0.3333333333,0.4117647059,0.568627451,0.5098039216,0.3529411765,0.6862745098,0.4901960784,0.4705882353,0.2549019608,0.3921568627,0.2745098039,0.5490196078,0.5098039216,0.3529411765,0.3333333333,0.3137254902,0.137254902,0.6078431373,0.3725490196
perc_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-GT-DeepCOVID,,,,0.2857142857,0.5833333333,0.3,0.3142857143,0.3636363636,0.2972972973,0.325,0.6,0.3658536585,0.4565217391,0.4222222222,0.4772727273,0.4651162791,0.3636363636,0.5217391304,0.4166666667,0.4680851064,0.4583333333,0.5714285714,0.5454545455,0.6,0.5217391304,0.6530612245,0.5416666667,0.5217391304,0.652173913,0.6888888889,0.6818181818,0.5833333333,0.7755102041,0.62,0.7,0.66,0.66,0.5918367347,0.58,0.5,0.52,0.6875,0.693877551
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,0,0,0.5,0,0,0,0.5,0.5,0.5,0.5,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,0.3725490196,0.2941176471,,0.3725490196,0.5490196078,0.3725490196,0.6470588235,0.5490196078,0.8039215686,0.6470588235,0.862745098,0.8431372549,0.7647058824,0.8235294118,0.5882352941,0.6274509804,0.5294117647,0.7647058824,0.5882352941,0.5098039216,0.3333333333,0.568627451,0.6470588235,0.7254901961
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IHME-CurveFit,0.2549019608,0.3265306122,0.4509803922,0.3921568627,0.431372549,,0.4901960784,0.5294117647,0.568627451,0.6666666667,0.5294117647,0.5098039216,,0.3725490196,0.3137254902,0.4509803922,0.3529411765,,0.3333333333,0.3921568627,0.3333333333,,0.3725490196,0.4509803922,,,0.3921568627,0.5098039216,,,,0.6274509804,,0.3529411765,0.4117647059,0.3921568627,0.4901960784,,,0.3137254902,0.4509803922,0.6666666667,0.8039215686
perc_beat_baseline-IowaStateLW-STEM,,0.387755102,0.3265306122,,0.4693877551,0.5102040816,0.4489795918,0.5510204082,0.4897959184,0.5102040816,0.4285714286,0.5102040816,0.4693877551,0.3469387755,0.4081632653,0.3265306122,,0.3469387755,0.306122449,0.4693877551,0.3673469388,0.4285714286,0.4285714286,0.5102040816,0.3673469388,0.387755102,0.3265306122,0.387755102,0.4897959184,0.5714285714,0.7142857143,0.7551020408,0.7142857143,0.4285714286,0.4489795918,0.4489795918,0.5510204082,0.5714285714,0.4081632653,0.4081632653,0.4693877551,0.2653061224,0.4081632653
perc_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,0.5490196078,0.3333333333,0.3725490196,0.5294117647,0.6666666667,0.6078431373,0.5294117647,0.6470588235,0.6470588235,0.6274509804,0.5098039216,0.6666666667,0.5882352941,0.6862745098,0.6666666667,0.7647058824,0.8431372549,0.6862745098,0.7843137255,0.6078431373,0.568627451,0.431372549,0.6470588235,,,,,,
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,0.3725490196,0.2941176471,0.3921568627,0.4117647059,0.4705882353,0.4901960784,0.6470588235,0.6862745098,0.7647058824,0.5882352941,0.6862745098,0.5882352941,0.5882352941,0.7058823529,0.5098039216,0.6078431373,0.3921568627,0.2745098039,0.2941176471,0.3725490196,,0.431372549,0.2745098039,0.4705882353
perc_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,0.6274509804,0.6666666667,0.5882352941,0.7843137255,0.862745098,0.6666666667,0.7843137255,0.5294117647,0.5098039216,0.4901960784,0.7450980392,,0.54,0.3673469388,0.3921568627,0.431372549,0.56
perc_beat_baseline-JHU_IDD-CovidSP,,,,,0.03921568627,0.09803921569,0.1176470588,0.137254902,0.4117647059,0.1960784314,0.2941176471,0.3529411765,0.2745098039,0.2352941176,0.1764705882,0.1960784314,0.1568627451,0.1764705882,0.3333333333,0.3725490196,0.3529411765,0.431372549,0.4117647059,0.568627451,0.431372549,0.4509803922,0.431372549,0.3921568627,0.2549019608,0.2156862745,0.7450980392,0.568627451,0.568627451,0.2352941176,0.431372549,0.3921568627,0.5294117647,0.5490196078,0.3725490196,0.4509803922,0.4901960784,0.5098039216,0.5490196078
perc_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3921568627,0.4509803922,0.2941176471,,,,,,,,,,,,,
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,0.3333333333,0.4901960784,0.4705882353,0.2156862745,0.5098039216,0.568627451,0.5098039216,0.4509803922,0.5490196078,0.5294117647,0.6666666667,0.568627451,0.6666666667,0.6862745098,0.8039215686,0.7647058824,0.8235294118,0.7843137255,0.6470588235,0.8039215686,0.5294117647,0.568627451,0.7058823529,0.6862745098,0.6078431373,0.6274509804,0.4705882353,0.4509803922,0.7647058824,0.8235294118
perc_beat_baseline-LANL-GrowthRate,0.431372549,0.4509803922,0.4705882353,0.5490196078,0.6078431373,0.6078431373,0.6078431373,0.6470588235,0.6470588235,0.6470588235,0.6274509804,0.6862745098,0.4509803922,0.3137254902,0.3529411765,0.3333333333,0.2941176471,0.3137254902,0.3333333333,0.4901960784,0.4117647059,0.3333333333,0.431372549,0.4509803922,0.2745098039,0.2941176471,0.137254902,0.3137254902,0.6078431373,0.7254901961,0.6666666667,0.5490196078,0.6078431373,0.431372549,0.7058823529,0.5490196078,0.4901960784,0.3725490196,0.4705882353,0.4509803922,0.5490196078,0.6274509804,0.7450980392
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,0.6274509804,0.5098039216,0.5490196078,0.5294117647,0.4117647059,0.3725490196,0.4705882353,0.431372549,0.3725490196,0.3921568627,0.6470588235,0.4901960784,0.568627451,0.6666666667,0.7058823529,0.6666666667,0.7843137255,0.8235294118,0.7647058824,0.5882352941,0.6274509804,0.6078431373,0.7450980392,0.2156862745,0.4705882353,0.5098039216,0.5098039216,0.4509803922,0.8039215686,0.8823529412
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,0.4509803922,0.3333333333,0.1960784314,0.3725490196,0.2941176471,0.431372549,,0.2549019608,,,0.3529411765,0.3137254902,0.2549019608,0.5294117647,,,0.3137254902,,,,,,,,,,,0.3529411765,0.3529411765,,,,
perc_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,0.431372549,0.431372549,0.568627451,0.5490196078,0.5294117647,0.5294117647,0.6078431373,0.5098039216,0.5294117647,0.5490196078,0.6078431373,0.6862745098,0.7450980392,0.4705882353,0.6078431373,0.4705882353,0.6470588235,0.4509803922,0.5098039216,0.2352941176,0.2156862745,0.4705882353,0.4705882353
perc_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.487804878,0.5909090909,0.488372093
perc_beat_baseline-MOBS-GLEAM_COVID,0.3181818182,0.3541666667,0.28,0.32,0.38,0.46,0.52,0.52,0.48,0.44,0.34,0.58,0.56,0.48,0.44,0.3,0.3,0.52,0.38,0.5,0.5,0.42,0.38,0.38,0.48,0.6,0.62,0.8,0.7,0.82,0.88,0.58,0.84,0.5,0.46,0.74,0.76,0.72,0.54,0.44,0.58,0.72,0.76
perc_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,0.7021276596,0.6595744681,0.8510638298,0.7872340426,0.82,0.82,0.8,0.66,,,,,,,,,
perc_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.42,0.44,0.78,0.7,0.56,0.22,0.32,0.56,0.34
perc_beat_baseline-NotreDame-FRED,,,0.2857142857,0.1428571429,0.2857142857,0,0.1428571429,0.2857142857,0,0,0,0.1428571429,0.1428571429,0.1428571429,0.7142857143,0.2857142857,0.2857142857,0.2857142857,0,0,0,0.4285714286,0.4285714286,0.5714285714,0.1428571429,0.5714285714,0.7142857143,0.4285714286,0.4285714286,0.5714285714,0.4285714286,0.2857142857,,0.2857142857,0.4285714286,,,,,,,,
perc_beat_baseline-NotreDame-mobility,,,,,,,,,,0.6862745098,0.3529411765,0.4117647059,0.4705882353,0.3725490196,0.3137254902,0.2352941176,0.2156862745,0.3333333333,0.3529411765,0.5294117647,0.4509803922,0.3725490196,0.4509803922,0.3921568627,0.4509803922,0.3921568627,0.3921568627,0.431372549,0.4117647059,0.3529411765,0.4117647059,0.2745098039,0.4705882353,0.2549019608,0.2549019608,,,,,,,,
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,0.6382978723,0.5294117647,0.5882352941,0.568627451,0.7058823529,0.6274509804,0.6470588235,0.6078431373,0.3921568627,0.4705882353,0.6470588235,0.4117647059,0.5098039216,0.5882352941,0.568627451,0.5490196078,0.6078431373,0.6862745098,0.6470588235,0.7647058824,0.8039215686,0.6862745098,0.8235294118,0.9411764706,0.7450980392,0.8039215686,0.6666666667,0.568627451,0.6078431373,0.5882352941,0.7254901961,0.4117647059,0.4117647059,0.6862745098,0.7450980392,0.8823529412
perc_beat_baseline-PSI-DRAFT,,,,,0.3333333333,0.4509803922,0.5490196078,0.3921568627,0.4117647059,0.431372549,0.3333333333,0.3137254902,0.2549019608,0.34,0.2352941176,0.2156862745,0.1960784314,0.2745098039,0.2941176471,0.4705882353,0.2941176471,0.3725490196,0.4509803922,0.4705882353,0.2941176471,0.3333333333,0.2549019608,0.2941176471,0.431372549,0.3725490196,0.5098039216,0.2941176471,0.3921568627,0.3137254902,0.3137254902,0.2941176471,0.4509803922,0.5098039216,0.3725490196,0.3921568627,0.431372549,0.4509803922,0.5294117647
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,0.3125,0.1875,0.125,0.2666666667,0.2666666667,0.4193548387,0.3548387097,0.3,0.1290322581,0.2580645161,0.3225806452,0.4193548387,0.4333333333,0.3666666667,0.5,0.2,0.8333333333,0.4193548387,0.3225806452,0.2666666667,0.2,0.2,0.1612903226,0.1935483871,0.3870967742,0.5333333333,0.5333333333
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,0.2941176471,0.2156862745,0.1632653061,0.2653061224,0.306122449,0.24,0.22,0.2352941176,0.3529411765,0.2352941176,0.1176470588,0.1764705882,0.137254902,0.1176470588,0.03921568627,0.2745098039,0.2,0.1176470588,0.5294117647,0.58,0.431372549,0.3333333333,0.3,0.3529411765,0.4,0.1764705882,0.2745098039,0.6078431373,0.4901960784,0.6470588235,0.8039215686,0.8823529412
perc_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,,1,0,0,0,0,,,,,,,,,,,,,,
perc_beat_baseline-SWC-TerminusCM,,,,,,0.275,0.3958333333,0.3673469388,0.431372549,,0.4583333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6274509804,0.6578947368
perc_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,0.3921568627,0.5294117647,0.5294117647,0.6274509804,0.5882352941,0.6078431373,0.4705882353,0.7254901961,0.7254901961,0.8039215686,0.7450980392,0.8431372549,0.8039215686,0.6470588235,0.7254901961,0.6666666667,0.7450980392,0.7647058824,0.4509803922,0.6274509804,0.6078431373,0.4705882353,0.5490196078,0.7647058824,0.8823529412
perc_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,0.05882352941,,,,0.1960784314,,0.2745098039,0.1960784314,0.3137254902,0.2941176471,0.4901960784,0.2941176471,0.3921568627,0.4705882353,0.4509803922,0.4705882353,0.4117647059,0.431372549,0.3529411765,0.431372549,0.4509803922,0.2745098039,0.2352941176,0.1960784314,0.4117647059,0.4117647059
perc_beat_baseline-UA-EpiCovDA,,,,,,0.3137254902,0.431372549,0.431372549,0.4901960784,0.6470588235,0.6274509804,0.4901960784,0.3333333333,0.4705882353,0.5490196078,0.4509803922,0.3333333333,0.6274509804,0.4117647059,0.4705882353,0.3725490196,0.5098039216,0.3529411765,0.4705882353,0.4901960784,0.5294117647,0.568627451,0.6470588235,0.5882352941,0.7254901961,0.7647058824,0.6470588235,0.6470588235,0.5098039216,0.5882352941,0.3725490196,0.1176470588,0.4705882353,0.5490196078,0.3921568627,0.431372549,0.6862745098,0.7058823529
perc_beat_baseline-UCLA-SuEIR,,,0.4705882353,0.5098039216,0.568627451,0.6862745098,0.6862745098,0.5490196078,0.5294117647,0.5098039216,0.4509803922,0.5098039216,0.4901960784,0.431372549,0.4117647059,0.5294117647,0.3333333333,0.4117647059,0.4705882353,0.4705882353,0.4901960784,0.4509803922,0.431372549,0.4117647059,0.2156862745,0.3725490196,0.2549019608,0.2352941176,0.2352941176,0.2549019608,0.2352941176,0.568627451,0.3725490196,0.3725490196,0.4509803922,0.4509803922,0.2941176471,0.4901960784,0.4705882353,0.5294117647,0.431372549,0.5294117647,0.6078431373
perc_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,,,,,,,
perc_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2549019608,0.6078431373,0.4901960784,0.6666666667,0.5490196078,0.6862745098,0.3333333333,0.4509803922,0.4509803922,0.6666666667,0.4705882353,0.2352941176,0.1176470588,0.4509803922,,
perc_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,0.46,0.34,0.34,0.44,0.44,0.58,0.58,0.74,0.7,0.84,0.88,0.58,0.86,0.46,0.4,0.6,0.52,0.64,0.42,0.38,0.48,0.54,0.68
perc_beat_baseline-UChicago-CovidIL,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_100,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_10_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_30_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_40,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_60,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UChicago-CovidIL_80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UMass-MechBayes,,0.2941176471,0.3921568627,0.4901960784,0.6274509804,0.6666666667,0.6078431373,0.6862745098,0.6078431373,0.6078431373,0.6666666667,0.7450980392,0.6862745098,0.6666666667,0.6078431373,0.5098039216,0.4509803922,0.4901960784,0.431372549,0.5098039216,0.5294117647,0.5882352941,0.568627451,0.6470588235,0.5882352941,0.6666666667,0.7058823529,0.6666666667,0.7254901961,0.862745098,0.8431372549,0.6666666667,0.6666666667,0.6274509804,0.6470588235,0.7647058824,0.3529411765,0.6078431373,0.6666666667,0.5882352941,0.6470588235,0.8039215686,0.8039215686
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,0.2285714286,0.3928571429,0.3666666667,0.2608695652,0.2307692308,0.275,0.4418604651,0.3265306122,0.2857142857,0.34,0.4,0.36,0.48,0.46,0.48,0.42,0.38,0.44,0.3,0.3333333333,0.8333333333,0.1666666667,0.34,0.44,0.32,0.24,0.26,0.26,0.38,0.693877551
perc_beat_baseline-USACE-ERDC_SEIR,,,,,0.4705882353,0.5490196078,0.5294117647,0.4901960784,0.5294117647,0.5882352941,0.4509803922,0.6666666667,0.6078431373,0.2352941176,0.2941176471,0.2941176471,0.3333333333,0.3137254902,0.2941176471,0.3921568627,0.3333333333,0.3137254902,0.3529411765,0.3921568627,,0.3333333333,,0.431372549,,,0.5294117647,0.2941176471,0.4117647059,,,,,,,,,,
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,0.5882352941,0.5882352941,0.431372549,0.568627451,0.431372549,0.4901960784,0.4117647059,0.5490196078,0.4901960784,0.5882352941,0.5294117647,0.5294117647,0.5098039216,0.6078431373,0.6470588235,0.6666666667,0.7450980392,0.8039215686,0.6470588235,0.862745098,0.8039215686,0.6470588235,0.7843137255,0.568627451,0.6666666667,0.7058823529,0.5882352941,0.3333333333,0.4705882353,0.2549019608,0.5098039216,0.8039215686,0.7843137255
perc_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5490196078,0.7843137255,,,,,,,,,,,,,
perc_beat_baseline-UT-Mobility,0.2745098039,0.1764705882,0.3137254902,,0.431372549,0.3921568627,0.5882352941,0.568627451,0.431372549,0.568627451,0.4901960784,0.5294117647,0.4901960784,0.4705882353,0.3333333333,0.2549019608,,0.4117647059,0.3333333333,,,0.2941176471,0.2745098039,0.2352941176,0.3725490196,0.3725490196,0.431372549,0.3921568627,0.3333333333,0.4509803922,0.3921568627,0.3333333333,0.3529411765,0.2745098039,0.4901960784,0.4705882353,,,0.5490196078,,0.4901960784,,
perc_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2666666667,0.4222222222,0.2727272727,,0.5454545455,,,,,
perc_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,0.2156862745,0.1764705882,0.3137254902,0.2156862745,0.1764705882,0.1568627451,0.09803921569,0.1764705882,0.07843137255,0.09803921569,0.07843137255,0,0.01960784314,0.05882352941,0.1764705882,0.07843137255,,0.1568627451,0.2156862745,0.2941176471,0.3137254902,0.568627451,0.6470588235
perc_beat_baseline-YYG-ParamSearch,0.3725490196,0.2941176471,0.5098039216,0.6666666667,0.5098039216,0.431372549,0.6274509804,0.5490196078,0.5882352941,0.6470588235,0.7254901961,0.6862745098,0.8235294118,0.6666666667,0.6470588235,0.431372549,0.5490196078,0.6274509804,0.5882352941,0.5098039216,0.5490196078,0.5882352941,0.5098039216,0.6666666667,0.6274509804,,,,,,,,,,,,,,,,,,
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,0.3333333333,0.2857142857,0.7142857143,0.6363636364,0.5217391304,0.6956521739,0.3913043478,0.3793103448,0.3703703704,0.3333333333,0.2708333333,0.3260869565,0.2173913043,0.2608695652,0.1818181818,0.2127659574,0.1914893617,0.3829787234,0.5217391304,0.380952381,0.5416666667,0.7021276596,0.625,0.6170212766,0.6,0.62,0.6274509804,0.6862745098,0.6470588235,0.612244898,0.4901960784,0.4117647059,0.3921568627,0.5882352941,0.5098039216
mean_abs_error-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.4901961,657.3117647,438.5941176,559.4333333,782.5980392,716.5509804,603.6745098,577.945098
mean_abs_error-Auquan-SEIR,,,,,347.5686275,364.8039216,376.2352941,767.1764706,839.9215686,153.8627451,213.3921569,312.372549,,,,202.9803922,141.2941176,153.6078431,157.7254902,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,130.0235294,205.6137255,212.2294118,219.6509804,249.4803922,280.5411765,319.2137255,364.4411765,298.745098,422.0294118,403.2980392,338.8058824,295.9294118,520.6156863,575.4666667,259.3117647,192.0941176,383.7431373,360.6313725
mean_abs_error-Baseline,352.3529412,334.9960784,295.6098039,316.872549,271.6666667,216.1843137,181.1156863,193.8333333,169.9352941,168.1921569,327.5980392,267.3980392,233.9215686,203.954902,151.4764706,122.127451,110.2294118,125.2352941,110.6019608,111.427451,101.4470588,96.48431373,107.0313725,117.6176471,101.5784314,153.9941176,195.2196078,232.8470588,286.8294118,381.6176471,480.8431373,433.2058824,579.0294118,364.654902,430.7176471,393.3941176,546.7666667,524.6333333,355.9196078,264.3215686,323.4137255,465.7980392,647.1117647
mean_abs_error-CEID-Walk,,,,,,,,,,,,,,,,,108.1745098,142.154902,133.9568627,133.0196078,103.6862745,100.2529412,123.927451,121.1568627,103.245098,135.4784314,203.9529412,240.5901961,290.6529412,377.772549,480.327451,447.0882353,561.8627451,370.472549,,,512.7764706,512.4509804,405.2509804,316.1627451,337.1215686,503.9843137,753.0372549
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,157.254902,136.5098039,82.98039216,126.3333333,75.11764706,92.11764706,,,,,,,123.0784314,193.6078431,228.7843137,257.2745098,259.627451,352.8431373,243.7254902,323.9019608,383.4313725,400.5294118,271.6862745,463.1568627,426.3137255,370.6470588,569.1960784,497.6862745,357.9411765,332.6078431
