,2020-07-06_2020-07-11,2020-07-13_2020-07-18,2020-07-20_2020-07-25,2020-07-27_2020-08-01,2020-08-03_2020-08-08,2020-08-10_2020-08-15,2020-08-17_2020-08-22,2020-08-24_2020-08-29,2020-08-31_2020-09-05,2020-09-07_2020-09-12,2020-09-14_2020-09-19,2020-09-21_2020-09-26,2020-09-28_2020-10-03,2020-10-05_2020-10-10,2020-10-12_2020-10-17,2020-10-19_2020-10-24,2020-10-26_2020-10-31,2020-11-02_2020-11-07,2020-11-09_2020-11-14,2020-11-16_2020-11-21,2020-11-23_2020-11-28,2020-11-30_2020-12-05,2020-12-07_2020-12-12,2020-12-14_2020-12-19,2020-12-21_2020-12-26,2020-12-28_2021-01-02,2021-01-04_2021-01-09,2021-01-11_2021-01-16,2021-01-18_2021-01-23,2021-01-25_2021-01-30,2021-02-01_2021-02-06,2021-02-08_2021-02-13,2021-02-15_2021-02-20,2021-02-22_2021-02-27,2021-03-01_2021-03-06
perc_beat_baseline-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,0.3333333333,0.6862745098,0.7058823529,0.6862745098,0.5294117647,0.5098039216,0.4509803922,0.4901960784,0.8235294118,0.5882352941,0.5882352941,0.6274509804,0.7058823529,0.3725490196,0.5294117647
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RobertWalraven-ESG,0.01960784314,0.2156862745,0.306122449,0.387755102,0.5102040816,0.34,0.5,0.1764705882,0.07843137255,0.5294117647,0.1568627451,0.1568627451,0.04166666667,0.2156862745,0.3137254902,0.6274509804,0.3137254902,0.431372549,0.8235294118,0.42,0.4117647059,0.431372549,0.3725490196,0.4509803922,0.42,0.1568627451,0.2549019608,0.3921568627,0.5882352941,0.4509803922,0.7058823529,0.8039215686,0.8235294118,0.3725490196,0.3725490196
perc_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4117647059,0.7631578947,0.7346938776,0.4166666667,0.46
perc_beat_baseline-TTU-squider,,,,,,,0.2549019608,0.07843137255,,,0.1176470588,,0.1568627451,0.1960784314,0.137254902,0.01960784314,0.1176470588,0.2549019608,0.1764705882,0.1764705882,0.2549019608,0.2941176471,0.3137254902,0.2352941176,0.2549019608,0.2352941176,0.2745098039,0.3333333333,0.431372549,0.2941176471,0.3333333333,0.2156862745,0.2156862745,0.2352941176,0.2549019608
perc_beat_baseline-UCF-AEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UCLA-SuEIR,0.5490196078,0.6470588235,0.4509803922,0.1960784314,0.1568627451,0.3725490196,0.431372549,0.4901960784,0.431372549,0.5490196078,0.1960784314,0.1960784314,0.3529411765,0.1960784314,0.1568627451,0.03921568627,0.09803921569,0.07843137255,0.1176470588,0.1960784314,0.4117647059,0.5294117647,0.4901960784,0.4901960784,0.5098039216,0.431372549,0.3921568627,0.4705882353,0.8235294118,0.7254901961,0.6274509804,0.6470588235,,0.4509803922,0.2156862745
perc_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,0.4705882353,0.4117647059,0.2745098039,0.1568627451,0.2745098039,0.3333333333,0.2941176471,0.1176470588,0.137254902,0.1764705882,0.568627451,0.5294117647,0.1176470588,0.03921568627,,,,,
perc_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,0.8823529412,0.7254901961,0.5098039216,0.3333333333,0.4509803922,0.4901960784,0.5882352941,,0.3137254902,0.3921568627,0.8039215686,0.5882352941,0.6862745098,0.6274509804,,0.3137254902,0.5294117647
perc_beat_baseline-UMich-RidgeTfReg,,,0.1290322581,0.1153846154,0.2142857143,0.3555555556,0.3888888889,0.125,0.2790697674,0.3469387755,0.4693877551,0.24,0.28,0.46,0.46,0.48,0.54,0.56,0.58,0.4,0.42,0.5,0.5,0.6666666667,0.24,0.46,0.44,0.32,0.36,0.26,0.22,0.2653061224,0.4255319149,0.1818181818,0.1904761905
perc_beat_baseline-USACE-ERDC_SEIR,0.1960784314,0.2549019608,0.4117647059,0.431372549,0.4705882353,0.6078431373,0.568627451,0.5294117647,0.4117647059,0.5294117647,0.4509803922,0.4705882353,0.4509803922,,0.4705882353,,0.6274509804,,,0.5490196078,0.4901960784,0.3137254902,,,,,,,,,,,,,
perc_beat_baseline-USC-SI_kJalpha,0.5490196078,0.431372549,0.1764705882,0.5882352941,0.5098039216,0.568627451,0.5882352941,0.3725490196,0.431372549,0.431372549,0.3529411765,0.4117647059,0.4509803922,0.6274509804,0.5294117647,0.6078431373,0.6666666667,0.6666666667,0.568627451,0.4901960784,0.3137254902,0.431372549,0.5490196078,0.568627451,0.5882352941,0.568627451,0.2941176471,0.6470588235,0.1960784314,0.7058823529,0.7450980392,0.7058823529,0.7647058824,0.4705882353,0.5098039216
perc_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,0.7647058824,0.8039215686,,,,,,,,,,,,,,,,
perc_beat_baseline-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,0.5098039216,0.4117647059,0.5490196078,0.3725490196,0.1568627451,0.07843137255,0.1568627451,0.6274509804,0.2549019608,0.07843137255,0.03921568627,0.7254901961,,0.7450980392,0.3137254902,0.568627451
perc_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,0,0.4,0.2045454545,,0,,,,,,,,
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,2228.884314,2648.198039,6269.884314,4763.182353,5338.7,8001.060784,4842.368627,5593.282353,5882.786275,7077.15098,6358.807843,5062.709804,4307.858824,7166.811765,4124.698039,4019.037255,2020.311765,3255.680392,1908.758824,1668.378431
mean_abs_error-CEID-Walk,,,,,,1137.994118,1402.735294,1009.003922,968.4529412,1183.952941,958.1490196,1117.986275,974.8215686,964.9137255,1232.756863,1938.539216,2214.117647,5078.807843,6033.013725,4166.492157,3416.766667,5328.272549,5375.560784,5271.75098,4222.886275,4006.758824,5678.937255,3563.056863,6785.421569,3689.1,4170.868627,3606.519608,3556.162745,1708.758824,1193.44902
mean_abs_error-COVIDhub-baseline,1524.313725,1561.352941,976.0196078,1028.058824,1485.45098,1137.078431,1432.117647,943.5490196,884.0196078,1201.470588,939.6470588,1069.235294,981.1960784,1020.019608,1195.529412,1905.72549,2217.254902,5088.588235,6036.235294,4304.470588,3428.019608,5231.235294,5514.058824,5274.411765,4004.529412,3955.490196,5781.470588,3575.568627,6635.529412,3623.588235,4258.72549,3607.372549,3639.352941,2046.921569,1179.882353
mean_abs_error-COVIDhub-ensemble,,,970.1372549,890.8627451,1362.843137,1040.941176,929.745098,734.254902,687.0588235,843.1960784,1032.392157,1180.372549,633.2745098,1171.058824,1443.588235,2174.019608,2401.215686,5027.137255,5643.137255,3329.803922,3586.470588,4662.294118,4449.745098,4530.196078,4486.235294,4029.568627,6273.705882,3343.058824,7126.490196,3221.784314,3062.823529,2199.980392,2270.627451,1345.372549,805.5294118
mean_abs_error-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2682.196078,1500.843137,9700.156863,1284.862745,1260.058824
mean_abs_error-CU-select,,,,,,1098.901961,1639.901961,822.6470588,874.9607843,1402.117647,925.8627451,1749.45098,950.4313725,1072.039216,1340.803922,1793.490196,2282.27451,4478.882353,4687.764706,3328.294118,2785.137255,5783.784314,5093.392157,3921.196078,3613.27451,6158.137255,4525.470588,8618.901961,8070.705882,2187.117647,3287.921569,2968.803922,2200.235294,1786.058824,1295.196078
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Covid19Sim-Simulator,2043.5,2770.323529,4258.137255,5048.903922,3186.911765,,,1540.313725,731.8568627,937.3196078,948.9215686,1345.398039,943.2176471,1242.427451,1628.490196,2482.776471,2593.623529,5423.768627,7228.309804,,3466.903922,5188.723529,6473.458824,5355.639216,4727.364706,3936.907843,7003.37451,2589.445098,8389.715686,5442.466667,4822.266667,3880.501961,3531.94902,1387.284314,1315.439216
mean_abs_error-CovidActNow-SEIR_CAN,1798.031373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-CovidAnalytics-DELPHI,2137.313725,2831.960784,2122.470588,2372.490196,3115.039216,2569.588235,2209.568627,2030.862745,2028.176471,1829,2243.313725,2844.411765,2904.803922,3202.823529,3778.941176,5537.137255,5520.980392,9289.039216,11829.4902,13426.88235,8796.431373,8753.647059,9003.823529,9429.54902,6782.039216,8669.823529,8751.392157,11435.13725,14956.31373,8829.607843,6337.686275,3793.431373,3978.352941,3016.333333,3415.843137
mean_abs_error-DDS-NBDS,,,,1972.976471,1379.2,1364.501961,1168.586275,1025.254902,969.5372549,1040.45098,1390.411765,1186.880392,1005.911765,1598.823529,1450.903922,2299.733333,1925.786275,3561.933333,4831.737255,7229.686275,8022.041176,6417.019608,15453.31961,7929.831373,9480.211765,49275.86471,11977.17255,12184.38235,27608.58431,11904.68627,27892.96471,75232.13333,,12492.6549,5650.378431
mean_abs_error-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,1452.403922,1135.582353,1283.507843,1061.319608,1619.835294,1268.445098,1461.923529,1060.437255,943.3137255,1005.186275,1426.552941,1039.539216,702.4784314,1065.986275,1175.190196,1530.839216,1833.870588,3730.97451,3431.511765,3568.398039,5087.243137,5143.111765,5165.309804,4289.680392,5369.254902,5450.788235,5863.978431,5654.62549,6581.186275,2443.766667,3193.801961,2168.001961,1774.835294,2889.266667,1288.864706
mean_abs_error-Google_Harvard-CPF,,,,,,,,,,,,,,,2820.64902,,1993.935294,5422.729412,4918.990196,5049.235294,4697.627451,5315.058824,5080.692157,5902.517647,9845.368627,10796.59608,6692.276471,4259.488235,5997.494118,3647.554902,2914.462745,2296.464706,2448.760784,2645.292157,2105.856863
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IEM_MED-CovidProject,,,,,,,,,,,,,,,,,,,,,,,4306.141176,4672.772549,7993.776471,5536.496078,6682.078431,6814.829412,8216.707843,2891.031373,2572.547059,1776.378431,1593.096078,1872.905882,1157.807843
mean_abs_error-IHME-CurveFit,,,8285.101961,8301.217647,9272.531373,9614.990196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,989.9647059,927.3156863,1212.831373,755.9588235,1030.578431,1129.794118,2272.770588,2173.345098,4928.652941,5988.409804,4904.703922,5594.996078,6251.021569,6571.084314,6192.384314,8128.24902,5580.252941,,,,,,,,,
mean_abs_error-JHUAPL-Bucky,,,,,,,,,998.9117647,1753.888235,708.6333333,1107.513725,1024.915686,1102.058824,1374.113725,2581.584314,2866.013725,5494.307843,6037.164706,5403.6,6743.188235,4496.176471,4976.619608,5838,7302.535294,7388.733333,3572.219608,4630.078431,7476.872549,4410.105882,4143.068627,3506.260784,4212.392157,2075.596078,2414.170588
mean_abs_error-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,2017.931373,2634.156863,,5326.705882,2883.941176,5486.921569,4647.627451,6128.019608,,,3923.882353,,,,,3962.117647,3064.529412,2317.196078,1164.509804,1066.215686
mean_abs_error-JHU_IDD-CovidSP,4226.354902,4162.835294,3446.492157,1637.980392,1812.201961,1531.682353,1475.721569,1218.480392,1007.690196,963.472549,1676.952941,2245.92549,1698.296078,2046.494118,3197.688235,4449.092157,5815.978431,10134.71569,,9042.521569,5570.966667,9240.335294,11396.46667,10701.94314,6073.870588,8060.121569,14316.23333,10915.80196,3176.007843,2739.994118,3104.052941,2603.027451,4922.007843,1913.533333,2135.039216
mean_abs_error-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,2671.5,5305.196078,6648.784314,5349.72549,,,6453.284314,6277.088235,6760.882353,9270.656863,11064.66667,5769.166667,,3951.362745,3141.490196,3254.078431,3559.696078,4736.578431,1837.588235
mean_abs_error-Karlen-pypm,,,5267.966667,3181.568627,3239.343137,1975.088235,1227.168627,1255.121569,979.8529412,1221.672549,1310.513725,1586.45098,1048.843137,1610.766667,1578.994118,1703.356863,1540.890196,3710.329412,4024.84902,4370.398039,7118.317647,5539.945098,4860.454902,5874.052941,8322.398039,9156.807843,5650.894118,4169.711765,6903.458824,4599.592157,2384.880392,1931.6,1775.747059,1650.194118,1269.364706
mean_abs_error-LANL-GrowthRate,2885.811765,3245.52549,1632.154902,1805.096078,1562.586275,1358.823529,974.645098,893.4980392,1070.017647,535.8392157,1131.998039,1435.14902,1106.215686,1775.833333,1524.762745,2656.068627,2897.598039,3700.656863,3560.656863,4227.901961,4279.5,5138.333333,4030.45098,3029.745098,4865.147059,8107.343137,7983.205882,4100.627451,3890.215686,3754.176471,2398.127451,2184.990196,1780.676471,3122.696078,2160.696078
mean_abs_error-LNQ-ens1,,,1180.262745,588.6666667,1083.313725,927.5490196,912.9431373,841.8882353,703.0843137,769.5901961,968.3823529,1091.282353,602.8705882,988.4843137,867.227451,1576.25098,1589.960784,3445.445098,2781.241176,2876.329412,2969.943137,5639.811765,3125.858824,3082.101961,4292.437255,5868.778431,6221.086275,5577.717647,3243.082353,1787.892157,2055.223529,1137.960784,1495.627451,1701.335294,823.3078431
mean_abs_error-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867.823529,856.0627451
mean_abs_error-OliverWyman-Navigator,1101.196078,1352.078431,2285.27451,1734.882353,1731.647059,1106.235294,999.9411765,761.5098039,919.2745098,,820.2941176,1528.745098,1630.509804,977.0588235,890.6666667,1451.156863,1456.058824,4367.803922,4190.058824,3019.431373,4969.019608,3678,4593.54902,5005.901961,7115.529412,4148.392157,6174.117647,4172.254902,10247.01961,6630.117647,4907.235294,3867.960784,3508.647059,2049.627451,1138.431373
mean_abs_error-OneQuietNight-ML,,,,,,,,,,,,,,,,,,,,,4648.529412,4562.039216,4507.333333,3977.941176,4499.54902,3777.117647,5192.392157,3554.098039,2904.352941,2443.490196,2614.019608,2571.078431,2462.235294,2149,1700.352941
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,7076.770588,4569.392157,,,,,,1180.878431,2037.3,1282.096078,2308.8,2549.696078,,1726.192157,1729.815686,1491.764706,2719.139216,5361.64902,2909.960784,,6061.168627,7015.029412,6806.164706,4862.658824,,5808.072549,7114.656863,5124.868627,6759.488235,4029.180392,2643.043137,1849.44902,1895.552941,1908.601961,1973.490196
mean_abs_error-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4854.411765,,,,
mean_abs_error-TTU-squider,,,,,,,1886.12549,3897.370588,,,4098.401961,,4015.35098,3210.458824,3831.2,5777.372549,6101.527451,8464.133333,11147.62157,11505.78039,9368.837255,14426.9098,10054.51765,8868.641176,8172.07451,7803.386275,9585.02549,9168.37451,7690.84902,7259.170588,7355.2,6677.952941,6791.472549,3983.409804,2876.72549
mean_abs_error-UCF-AEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCLA-SuEIR,1142.398039,757.8470588,1026.001961,2070.158824,2355.980392,1567.907843,1361.115686,997.8137255,772.2156863,1070.123529,1238.172549,1173.45098,964.3039216,1329.996078,1620.711765,2755.92549,3001.633333,6046.396078,7132.339216,5774.417647,3538.619608,5386.329412,5401.960784,5623.858824,4339.845098,4151.045098,5833.468627,4074.715686,2268.280392,3029.584314,4419.935294,3866.896078,,3111.415686,2988.307843
mean_abs_error-UCSB-ACTS,,,,,,,,,,,,,,,,,2726.380392,5219.2,7534.398039,6867.613725,10410.33529,13350.4451,10621.94902,11320.35098,8087.472549,12334.74314,7953.439216,4446.609804,13364.85882,17214.30784,,,,,
mean_abs_error-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,3408.227451,2643.82549,3743.786275,6012.460784,5593.307843,5670.586275,4147.37451,,8295.454902,4063.409804,2987.037255,2821,2611.547059,2471.178431,,2220.05098,1331.982353
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,2749.923529,1908.319608,1223.262745,1268.303922,1133.396078,1138.870588,1064.341176,788.427451,987.9372549,932.1372549,1052.007843,1740.276471,932.8058824,,1151.156863,,1840.307843,,,4060.298039,2822.947059,8011.527451,,,,,,,,,,,,,
mean_abs_error-USC-SI_kJalpha,1656.498039,2407.323529,3024.270588,711.8431373,1355.627451,1088.54902,767.745098,971.4313725,892.0196078,1281.980392,1286.490196,1302.45098,915.7254902,925,1203.333333,1800.470588,2080.509804,4737.568627,6128.705882,4969.215686,4177.823529,5380.392157,4422.137255,4696.588235,4295.54902,4462.156863,6920.058824,3130.745098,7754.803922,2956.078431,3573.176471,2449.764706,2522.333333,1474.980392,965.8235294
mean_abs_error-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,4762.331373,5360.107843,,,,,,,,,,,,,,,,
mean_abs_error-UVA-Ensemble,,,,,,,,,,,,,,,,,,,,5369.992157,4030.613725,6741.278431,6318.107843,14579.23529,20463.57647,17805.31373,18239.09216,15554.58039,21078.16275,15156.26863,2683.098039,,2517.421569,2198.241176,1127.833333
mean_abs_error-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
