,perc_error_2020-06-08_2020-10-24,perc_error_2020-06-15_2020-10-24,perc_error_2020-06-22_2020-10-24,perc_error_2020-06-29_2020-10-24,perc_error_2020-07-06_2020-10-24,perc_error_2020-07-13_2020-10-24,perc_error_2020-07-20_2020-10-24,perc_error_2020-07-27_2020-10-24,perc_error_2020-08-03_2020-10-24,perc_error_2020-08-10_2020-10-24,perc_error_2020-08-17_2020-10-24,perc_error_2020-08-24_2020-10-24,perc_error_2020-08-31_2020-10-24,perc_error_2020-09-07_2020-10-24,perc_error_2020-09-14_2020-10-24,perc_error_2020-09-21_2020-10-24,perc_error_2020-09-28_2020-10-24,perc_error_2020-10-05_2020-10-24,perc_error_2020-10-12_2020-10-24,perc_error_2020-10-19_2020-10-24
CU-select,,,,,,,,,,,,,,,,,0.153,-0.095,-0.152,-0.123
NotreDame-mobility,,,,,,,,,,,,,,,-0.184,-0.201,-0.232,-0.263,-0.258,-0.349
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,0.257,-0.241,-0.006,-0.136
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.160,-0.141,-0.161,-0.076
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,0.008,-0.101,-0.226,-0.212
DDS-NBDS,,,,,,,,,,,,,,,,,-0.236,-0.332,-0.070,-0.051
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,0.184,-0.154,-0.033,-0.163
Covid19Sim-Simulator,-0.597,-0.412,-0.409,0.463,0.430,0.374,0.258,0.212,0.013,,-0.466,-0.595,-0.119,-0.200,-0.262,-0.294,-0.168,-0.096,-0.435,-0.968
PSI-DRAFT,,,,,,,,,,,,,,,-0.274,-0.205,-0.184,-0.336,-0.336,-0.360
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.187,-0.260,-0.287,-0.310,-0.272,-0.243,-0.405
IBF-TimeSeries,,,,,,,,,,,,,,0.304,0.155,0.281,0.265,,0.388,0.788
IHME-CurveFit,0.088,0.182,-0.087,-0.347,-0.246,,-0.078,-0.126,-0.001,0.246,,0.375,0.504,0.431,,-0.150,0.131,,,-0.527
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.723,-0.658,-0.071,-0.147
USACE-ERDC_SEIR,,,,,,,,,,,,,0.157,0.255,0.176,0.356,0.333,,0.297,
UT-Mobility,,,,,,,,,,,,,,,,,-0.263,-0.142,-0.160,-0.197
BPagano-RtDriven,,,,,,,,,,,,,,,,,,-0.309,-0.493,-0.024
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.417,-0.381,-0.370,-0.346,-0.325,-0.319,-0.307,-0.318
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.255,-0.275,0.332,0.296,0.466
MSRA-DeepST,,,,,,,,,,,,,,,,,,,-0.122,-0.191
LANL-GrowthRate,,,,,,,,,,,,,,-0.530,-0.417,-0.382,-0.429,-0.362,-0.306,-0.375
RobertWalraven-ESG,,,,,,,,,,,,,-0.467,-0.575,-0.595,-0.544,,-0.405,-0.454,-0.217
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,-0.136,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.178
TTU-squider,,,,,,,,,,,,,,,,,1.548,0.430,0.891,1.255
