,mean_abs_error_2020-04-20_2020-08-01,mean_abs_error_2020-04-27_2020-08-01,mean_abs_error_2020-05-04_2020-08-01,mean_abs_error_2020-05-11_2020-08-01,mean_abs_error_2020-05-18_2020-08-01,mean_abs_error_2020-05-25_2020-08-01,mean_abs_error_2020-06-01_2020-08-01,mean_abs_error_2020-06-08_2020-08-01,mean_abs_error_2020-06-15_2020-08-01,mean_abs_error_2020-06-22_2020-08-01,mean_abs_error_2020-06-29_2020-08-01,mean_abs_error_2020-07-06_2020-08-01,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-04-20_2020-08-01,mean_sq_abs_error_2020-04-27_2020-08-01,mean_sq_abs_error_2020-05-04_2020-08-01,mean_sq_abs_error_2020-05-11_2020-08-01,mean_sq_abs_error_2020-05-18_2020-08-01,mean_sq_abs_error_2020-05-25_2020-08-01,mean_sq_abs_error_2020-06-01_2020-08-01,mean_sq_abs_error_2020-06-08_2020-08-01,mean_sq_abs_error_2020-06-15_2020-08-01,mean_sq_abs_error_2020-06-22_2020-08-01,mean_sq_abs_error_2020-06-29_2020-08-01,mean_sq_abs_error_2020-07-06_2020-08-01,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-01
CovidAnalytics-DELPHI,,,,,,,,,,,274.1,242.2,146.0,88.5,51.5,,,,,,,,,,,331676.6,285972.7,124826.8,51045.6,24019.5
USC-SI_kJalpha,,,,,,,,,,,300.1,257.5,193.2,78.2,47.4,,,,,,,,,,,978058.2,333452.0,141984.7,27461.6,23488.3
UA-EpiCovDA,,,,,,,,,,,,272.1,180.5,71.4,36.1,,,,,,,,,,,,515212.9,228915.0,29410.1,11729.7
Baseline,2644.3,2338.3,1996.4,1689.8,1307.2,968.6,746.1,650.9,489.7,366.5,472.0,267.4,165.4,96.7,47.3,88711705.9,44316196.0,23639574.2,14092476.5,7738765.6,3101989.3,1658125.9,1369076.0,925006.4,643609.7,2143260.8,463958.5,172749.4,62935.1,20809.9
IowaStateLW-STEM,,973.3,1015.1,,724.4,592.1,574.4,491.5,400.0,330.0,353.1,259.1,175.6,103.6,49.9,,2608291.0,2733932.3,,1794345.9,1281704.3,1345041.3,1100997.0,730618.2,541187.2,775384.5,362349.8,178753.8,46049.0,17710.6
CU-select,,,,,,,,,,,,297.3,123.3,85.9,47.3,,,,,,,,,,,,348652.4,108792.3,49119.2,15971.7
COVIDhub-baseline,,,,,,,,,,,,277.8,182.7,99.3,44.6,,,,,,,,,,,,472626.2,200664.6,61368.4,17877.2
LNQ-ens1,,,,,,,,,,,,,,61.2,43.2,,,,,,,,,,,,,,29734.9,17400.0
PSI-DRAFT,,,,,,,,,,497.1,410.2,365.3,276.1,100.0,48.3,,,,,,,,,,1618605.0,1097815.8,762020.3,447379.9,34970.5,7893.3
JHU_IDD-CovidSP,,,,,,,,,,,,285.3,164.9,114.0,71.4,,,,,,,,,,,,248090.5,135999.4,69553.8,34754.5
CMU-TimeSeries,,,,,,,,,,,,,,82.2,44.6,,,,,,,,,,,,,,50906.8,17973.5
MOBS-GLEAM_COVID,,,,,,,,,,,,260.7,184.5,118.8,60.4,,,,,,,,,,,,461086.3,223480.4,57318.8,32082.9
NotreDame-mobility,,,,,,,,,,378.4,718.7,288.1,174.5,121.7,103.3,,,,,,,,,,1384792.5,8545559.0,521200.3,188781.8,83414.0,56127.1
SWC-TerminusCM,,,,,,,,,572.3,,341.8,,,,,,,,,,,,,1765491.9,,715293.9,,,,
GT-DeepCOVID,,,,,,,,,,,,305.6,200.8,121.1,54.7,,,,,,,,,,,,436574.0,212961.4,109758.4,24904.8
JCB-PRM,,,,,,,,,,,,,,,39.5,,,,,,,,,,,,,,,14421.7
DDS-NBDS,,,,,,,,,,,,,,,43.3,,,,,,,,,,,,,,,10144.1
MITCovAlliance-SIR,,,,,,,,,,,397.8,475.4,471.1,295.1,228.1,,,,,,,,,,,685396.6,1190549.4,1158147.8,699344.8,533465.3
RobertWalraven-ESG,,,,,,,,,,,,477.8,425.2,2171.6,80.1,,,,,,,,,,,,1586657.8,1587131.6,24920108.8,42002.8
Geneva-DetGrowth,,,,,,,,,,,,,,,51.6,,,,,,,,,,,,,,,13309.1
Auquan-SEIR,,,,,,,,,,,,312.4,,,,,,,,,,,,,,,590221.4,,,
Karlen-pypm,,,,,,,,,,,,,,176.5,195.9,,,,,,,,,,,,,,519356.1,1131474.2
CovidActNow-SEIR_CAN,,,,,,,,,,,,711.5,,,,,,,,,,,,,,,3173766.4,,,
