,mean_abs_error_2020-04-27_2020-08-08,mean_abs_error_2020-05-04_2020-08-08,mean_abs_error_2020-05-11_2020-08-08,mean_abs_error_2020-05-18_2020-08-08,mean_abs_error_2020-05-25_2020-08-08,mean_abs_error_2020-06-01_2020-08-08,mean_abs_error_2020-06-08_2020-08-08,mean_abs_error_2020-06-15_2020-08-08,mean_abs_error_2020-06-22_2020-08-08,mean_abs_error_2020-06-29_2020-08-08,mean_abs_error_2020-07-06_2020-08-08,mean_abs_error_2020-07-13_2020-08-08,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-04-27_2020-08-08,mean_sq_abs_error_2020-05-04_2020-08-08,mean_sq_abs_error_2020-05-11_2020-08-08,mean_sq_abs_error_2020-05-18_2020-08-08,mean_sq_abs_error_2020-05-25_2020-08-08,mean_sq_abs_error_2020-06-01_2020-08-08,mean_sq_abs_error_2020-06-08_2020-08-08,mean_sq_abs_error_2020-06-15_2020-08-08,mean_sq_abs_error_2020-06-22_2020-08-08,mean_sq_abs_error_2020-06-29_2020-08-08,mean_sq_abs_error_2020-07-06_2020-08-08,mean_sq_abs_error_2020-07-13_2020-08-08,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-08
IowaStateLW-STEM,1106.2,1156.1,,868.2,732.4,710.4,616.0,501.4,425.6,450.7,326.5,239.5,154.5,86.1,41.4,3496885.2,3474607.3,,2631587.1,1976659.8,2096665.3,1725154.4,1168874.0,892023.1,1252874.4,589802.7,317139.8,88655.0,37766.5,4738.2
COVIDhub-baseline,,,,,,,,,,,,260.6,159.7,82.2,24.9,,,,,,,,,,,,378318.6,135774.6,45249.3,3857.3
USACE-ERDC_SEIR,,,,843.5,746.6,725.0,612.6,373.1,320.6,375.2,204.1,173.0,315.2,138.3,59.4,,,,2255433.7,2041588.3,1811365.3,1380288.4,736250.9,496198.7,944256.0,266201.0,150521.5,680004.0,83259.9,12496.9
LANL-GrowthRate,,,,,,,,,,340.5,309.1,238.8,184.2,138.1,53.0,,,,,,,,,,855741.2,819086.2,371846.1,216330.1,154766.3,19916.1
UT-Mobility,,,,,,,,,,,,180.5,137.0,110.0,63.6,,,,,,,,,,,,152145.9,107588.8,59647.5,21799.2
JCB-PRM,,,,,,,,,,,,,,59.5,22.4,,,,,,,,,,,,,,17903.7,1552.4
JHU_IDD-CovidSP,,,,,,,,,,,395.3,244.4,169.6,105.2,60.1,,,,,,,,,,,439442.5,230316.6,119244.0,65527.6,16632.7
IHME-CurveFit,,872.3,679.5,1375.7,,681.0,469.0,371.1,282.5,290.6,279.0,,169.7,122.0,94.2,,2365500.2,1793139.7,4984992.8,,1847367.7,1024903.4,778755.8,360702.6,480990.0,426143.2,,91267.8,68943.6,49371.5
PSI-DRAFT,,,,,,,,,,528.5,483.9,371.3,137.5,116.0,60.3,,,,,,,,,,1796631.4,1312793.1,810804.0,58985.6,47733.8,30583.1
GT-DeepCOVID,,,,,,,,,,,,285.0,173.1,101.3,43.7,,,,,,,,,,,,384831.3,185173.0,64749.8,9580.8
MOBS-GLEAM_COVID,,,,,,,,,,,,249.3,174.4,106.1,60.6,,,,,,,,,,,,391751.3,107565.3,90897.0,44763.7
LNQ-ens1,,,,,,,,,,,,,303.0,173.6,16.9,,,,,,,,,,,,,466613.0,173355.7,1353.9
CMU-TimeSeries,,,,,,,,,,,,,309.1,175.9,21.6,,,,,,,,,,,,,508205.8,189685.2,1659.9
NotreDame-mobility,,,,,,,,,,1022.7,388.4,241.6,177.0,161.0,161.7,,,,,,,,,,19196425.1,923027.4,353609.1,155986.1,119361.4,120787.5
DDS-NBDS,,,,,,,,,,,,,,123.0,38.7,,,,,,,,,,,,,,104392.3,8147.9
RobertWalraven-ESG,,,,,,,,,,,,486.1,2047.2,145.5,60.9,,,,,,,,,,,,1697155.9,22216718.8,123573.9,15990.6
Geneva-DetGrowth,,,,,,,,,,,,,,,42.7,,,,,,,,,,,,,,,9560.2
Auquan-SEIR,,,,,,,,,,,423.7,,,,81.6,,,,,,,,,,,1015767.0,,,,21802.5
MITCovAlliance-SIR,,,,,,,,,,,559.3,554.7,372.9,299.9,182.8,,,,,,,,,,,1516556.8,1481840.1,991106.6,729739.7,447684.7
Karlen-pypm,,,,,,,,,,,,,330.3,240.6,176.2,,,,,,,,,,,,,780596.0,1185438.7,1121722.1
SWC-TerminusCM,,,,,,,,,,444.2,,,,,,,,,,,,,,,1198336.8,,,,,
CovidActNow-SEIR_CAN,,,,,,,,,,,1173.3,,,,,,,,,,,,,,,9411027.9,,,,
