,perc_error_2020-06-01_2020-10-17,perc_error_2020-06-08_2020-10-17,perc_error_2020-06-15_2020-10-17,perc_error_2020-06-22_2020-10-17,perc_error_2020-06-29_2020-10-17,perc_error_2020-07-06_2020-10-17,perc_error_2020-07-13_2020-10-17,perc_error_2020-07-20_2020-10-17,perc_error_2020-07-27_2020-10-17,perc_error_2020-08-03_2020-10-17,perc_error_2020-08-10_2020-10-17,perc_error_2020-08-17_2020-10-17,perc_error_2020-08-24_2020-10-17,perc_error_2020-08-31_2020-10-17,perc_error_2020-09-07_2020-10-17,perc_error_2020-09-14_2020-10-17,perc_error_2020-09-21_2020-10-17,perc_error_2020-09-28_2020-10-17,perc_error_2020-10-05_2020-10-17,perc_error_2020-10-12_2020-10-17
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.051,-0.028,-0.040,-0.054
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.014,0.139,0.010,0.043
YYG-ParamSearch,,,,,,,-0.050,-0.159,-0.071,0.015,0.020,-0.035,-0.151,-0.179,-0.196,-0.275,-0.211,-0.050,-0.048,
CEID-Walk,,,,,,,,,,,,,,,,,0.110,0.047,-0.070,-0.027
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.051,0.017,-0.094,-0.048
GT-DeepCOVID,,,,,,,,,,,,,,,,,0.064,0.137,0.048,0.032
NotreDame-mobility,,,,,,,,,,,,,,,0.127,-0.126,-0.195,-0.215,-0.225,-0.197
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.037,0.046,-0.061,-0.182
STH-3PU,,,-0.391,-0.668,-0.744,-0.734,-0.757,0.023,0.417,1.459,-0.005,-0.002,-0.024,-0.032,-0.669,-0.018,-0.073,,-0.133,-0.082
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.002,0.109,0.106,-0.086
JHUAPL-Bucky,,,,,,,,,,,,,,,,-0.302,-0.207,-0.089,-0.012,-0.091
DDS-NBDS,,,,,,,,,,,,,,,,,0.025,-0.170,-0.266,-0.019
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.163,-0.084,-0.055,-0.058
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.097,0.200,-0.123,0.013
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.083,-0.134,-0.207,-0.231,-0.247,-0.204,-0.185
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.033,0.279,-0.211,0.036
Covid19Sim-Simulator,-0.595,-0.601,-0.409,-0.407,0.380,0.372,0.324,0.238,0.204,0.024,,-0.464,-0.594,-0.046,-0.151,-0.217,-0.249,-0.149,-0.160,-0.931
UA-EpiCovDA,,,,,,,,,,,,,,,,,0.234,0.116,0.074,-0.061
CU-select,,,,,,,,,,,,,,,,,0.125,0.065,-0.108,-0.216
PSI-DRAFT,,,,,,,,,,,,,,,0.291,-0.243,-0.166,-0.135,-0.275,-0.277
UT-Mobility,,,,,,,,,,,,,,,,,0.033,-0.294,-0.124,-0.142
IHME-CurveFit,,0.023,0.109,-0.114,-0.363,-0.255,,-0.072,-0.112,0.001,0.237,,0.367,0.471,0.369,,-0.196,0.095,,
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,0.509,0.227,0.091,0.067
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,-0.051,-0.069
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.211,-0.386,-0.346,-0.332,-0.302,-0.271,-0.258,-0.212
USACE-ERDC_SEIR,,,,,,,,,,,,,0.083,0.204,0.280,0.210,0.341,0.352,,0.277
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.207,-0.235,-0.256,0.432,0.533
IBF-TimeSeries,,,,,,,,,,,,,,,0.340,0.202,0.347,0.379,,0.981
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.855,-0.680,-0.602,0.020
MSRA-DeepST,,,,,,,,,,,,,,,,,,,,-0.016
LANL-GrowthRate,,,,,,,,,,,,,,-0.459,-0.483,-0.359,-0.312,-0.351,-0.282,-0.220
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.042
RobertWalraven-ESG,,,,,,,,,,,,,-0.518,-0.423,-0.540,-0.563,-0.501,,-0.318,-0.383
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,-0.310,-0.997
TTU-squider,,,,,,,,,,,,,,,,,,1.842,0.625,1.775
Auquan-SEIR,,,,,,,,,,,,,-0.460,,,,,,,
